Zone,Venue,Event,Day,Date,Start,End,Medal
Anaheim Zone,Honda Center,Volleyball,15,"Saturday, July 29",14:45,17:15,B
Anaheim Zone,Honda Center,Volleyball,16,"Sunday, July 30",10:00,13:15,G
Arcadia Zone,Santa Anita Park,Equestrian,1,"Saturday, July 15",09:00,11:30,-
Arcadia Zone,Santa Anita Park,Equestrian,1,"Saturday, July 15",16:30,19:00,-
Arcadia Zone,Santa Anita Park,Equestrian,2,"Sunday, July 16",09:00,11:30,-
Arcadia Zone,Santa Anita Park,Equestrian,3,"Monday, July 17",08:00,11:30,-
Arcadia Zone,Santa Anita Park,Equestrian,4,"Tuesday, July 18",16:30,22:00,G
Arcadia Zone,Santa Anita Park,Equestrian,6,"Thursday, July 20",09:00,11:45,-
Arcadia Zone,Santa Anita Park,Equestrian,6,"Thursday, July 20",16:15,19:00,-
Arcadia Zone,Santa Anita Park,Equestrian,7,"Friday, July 21",09:00,11:45,-
Arcadia Zone,Santa Anita Park,Equestrian,7,"Friday, July 21",16:15,19:00,-
Arcadia Zone,Santa Anita Park,Equestrian,8,"Saturday, July 22",09:00,11:45,-
Arcadia Zone,Santa Anita Park,Equestrian,8,"Saturday, July 22",16:15,19:00,G
Arcadia Zone,Santa Anita Park,Equestrian,10,"Monday, July 24",08:30,12:00,G
Arcadia Zone,Santa Anita Park,Equestrian,11,"Tuesday, July 25",09:00,12:00,-
Arcadia Zone,Santa Anita Park,Equestrian,12,"Wednesday, July 26",09:00,11:10,G
Arcadia Zone,Santa Anita Park,Equestrian,14,"Friday, July 28",08:00,12:00,-
Arcadia Zone,Santa Anita Park,Equestrian,15,"Saturday, July 29",09:00,11:00,G
City of Industry Zone,Industry Hills MTB Course,Mountain Bike,3,"Monday, July 17",11:00,13:30,G
City of Industry Zone,Industry Hills MTB Course,Mountain Bike,4,"Tuesday, July 18",11:00,13:30,G
